                    B:S:DECIM |           ctr.key:1048576000 |    4 | R (365/ 897 ~0.407; c R (129/ 299) | hcr:  - , max   8, sm: 50.00 %, sds 111) exs: 340375, 340376, 340377, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    B:S:DECIM |           ctr.key:1048576000 |    5 | R (312/ 897 ~0.348; c R (112/ 299) | hcr:  - , max   8, sm: 37.50 %, sds 111) exs: 331640, 331641, 331642, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    B:S:DECIM |           ctr.key:1048576000 |    6 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:  - , max   8, sds 000) exs: 316105, 316106, 316107, mpv: [2.650e-04, 1.307e-05, 7.515e-05], [; ; ]
                    B:S:DECIM |           ctr.key:1048576000 |    7 | - (  1/ 897 ~0.001; c - (  1/ 299) | hcr:  - , max   8, sds 000) exs: 316117, 316118, 316119, mpv: [2.477e-04, 7.914e-06, 7.515e-05], [; 168; ]
                    B:S:DECIM |           ctr.key:1048576000 |    8 | - (  0/ 897 ~0.000; c - (  2/ 299) | hcr:  - , max   8, sds 000) exs: 321890, 321891, 321892, mpv: [5.711e-04, 5.350e-04, 1.800e-05], [; ; ]
                    B:S:DECIM |              hw.key:10485760 |    4 | R ( 26/ 642 ~0.040; c R ( 12/ 214) | hcr:  - , max   8, sm: 50.00 %, sds 111) exs: 331646, 331647, 331648, mpv: [1.006e-82, 9.827e-60, 4.182e-71]
                    B:S:DECIM |              hw.key:10485760 |    5 | R (  8/ 642 ~0.012; c R (  4/ 214) | hcr:  - , max   8, sm: 37.50 %, sds 111) exs: 331649, 331650, 331651, mpv: [1.112e-20, 3.925e-07, 1.903e-21], [203; 203, 476, 558, 568, 570; 203, 476]
                    B:S:DECIM |              hw.key:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max   8, sds 000) exs: 325005, 325006, 325007, mpv: [1.405e-03, 5.493e-05, 2.682e-04], [; ; ]
                    B:S:DECIM |              hw.key:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max   8, sds 000) exs: 325008, 325009, 325010, mpv: [4.301e-03, 5.493e-05, 2.682e-04], [; ; ]
                    B:S:DECIM |              hw.key:10485760 |    8 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max   8, sds 000) exs: 325011, 325012, 325013, mpv: [7.800e-03, 2.960e-04, 3.261e-03], [; ; ]
